Time (s)	Load (N)	Displacement (mm)
19,653	-10,5	-2,46
19,677	-11,5	-2,58
19,7	-12	-2,7
19,725	-13	-2,82
19,749	-13,5	-2,94
19,773	-15	-3,06
19,797	-15	-3,18
19,821	-16	-3,282
19,845	-16,5	-3,35
19,869	-17,5	-3,397
19,893	-18,5	-3,429
19,917	-19	-3,45
19,941	-19	-3,466
19,965	-19,5	-3,477
19,989	-19,5	-3,484
20,013	-19,5	-3,489
20,037	-19,5	-3,492
20,061	-19,5	-3,495
20,085	-19,5	-3,496
20,109	-19,5	-3,497
20,132	-19,5	-3,498
20,157	-19,5	-3,498
20,181	-19,5	-3,499
20,205	-19,5	-3,499
20,229	-19,5	-3,5
20,253	-19,5	-3,491
20,277	-19,5	-3,364
20,302	-19,5	-3,237
20,325	-19	-3,116
20,349	-18,5	-2,995
20,373	-16,5	-2,874
20,397	-15,5	-2,754
20,421	-15	-2,634
20,445	-14,5	-2,514
20,469	-13,5	-2,394
20,493	-12	-2,274
20,517	-11,5	-2,155
20,54	-10,5	-2,035
20,564	-10	-1,915
20,589	-9,5	-1,795
20,613	-8,5	-1,675
20,637	-7,5	-1,555
20,661	-6,5	-1,435
20,684	-6	-1,315
20,709	-5,5	-1,195
20,732	-4	-1,075
20,757	-3,5	-0,955
20,781	-3	-0,835
20,805	-2,5	-0,715
20,828	-2	-0,595
20,852	-1	-0,475
20,877	-1	-0,355
20,901	-1	-0,244
20,925	0	-0,167
20,948	0	-0,115
20,973	0,5	-0,08
20,996	1	-0,055
21,021	1	-0,038
21,045	1	-0,026
21,068	1	-0,018
21,092	1	-0,013
21,116	1	-0,009
21,141	1	-0,006
21,165	1	-0,004
21,189	1	-0,002
21,213	1,5	-0,002
21,237	1,5	-0,001
21,261	1,5	-0,001
21,284	1,5	0
21,309	1	-0,058
21,333	1	-0,195
21,357	0,5	-0,318
21,381	0,5	-0,439
21,404	0	-0,56
21,429	-0,5	-0,68
21,452	-1,5	-0,8
21,476	-2	-0,92
21,501	-3	-1,04
21,524	-3	-1,16
21,548	-4	-1,28
21,573	-5	-1,4
21,596	-5	-1,52
21,62	-5,5	-1,64
21,644	-6	-1,755
21,668	-6,5	-1,88
21,693	-7,5	-2
21,716	-8	-2,12
21,74	-9	-2,24
21,764	-9,5	-2,36
21,788	-9,5	-2,48
21,812	-11,5	-2,6
21,836	-12	-2,72
21,86	-13	-2,84
21,884	-13,5	-2,96
21,908	-14	-3,081
21,932	-15,5	-3,2
21,956	-16	-3,295
21,98	-17	-3,359
22,004	-17,5	-3,403
22,028	-18	-3,433
22,052	-19	-3,454
22,076	-19	-3,468
22,1	-19,5	-3,477
22,124	-19,5	-3,485
22,148	-19,5	-3,49
22,172	-19,5	-3,493
22,196	-19,5	-3,495
22,22	-19,5	-3,496
22,244	-19,5	-3,497
22,268	-19,5	-3,498
22,292	-19,5	-3,499
22,316	-19,5	-3,499
22,34	-19,5	-3,499
22,364	-19,5	-3,5
22,388	-19,5	-3,46
22,412	-19,5	-3,32
